Image_No,Item_description_english,Item_description_german,"food_num","processing_num","taste_num","category_num",protein_100g,fat_100g,carbs_100g,kcal_100g,no_items_image,gramms_total,protein_total,fat_total,carbs_total,Kcal_total,red,green,blue,object size,intensity,sd,complexity,norm. Complexity,medianpower,Recognizability,Familiarity,Valence,Arousal,Complexity,Palatability,Craving,Recognizability_Omnivor_Male,Recognizability_Omnivor_Female,Recognizability_Vegetarian_Male,Recognizability_Vegetarian_Female,Familiarity_Omnivor_Male,Familiarity_Omnivor_Female,Familiarity_Vegetarian_Male,Familiarity_Vegetarian_Female,Valence_Omnivor_Male,Valence_Omnivor_Female,Valence_Vegetarian_Male,Valence_Vegetarian_Female,Arousal_Omnivor_Male,Arousal_Omnivor_Female,Arousal_Vegetarian_Male,Arousal_Vegetarian_Female,Complexity_Omnivor_Male,Complexity_Omnivor_Female,Complexity_Vegetarian_Male,Complexity_Vegetarian_Female,Palatability_Omnivor_Male,Palatability_Omnivor_Female,Palatability_Vegetarian_Male,Palatability_Vegetarian_Female,Craving_Omnivor_Male,Craving_Omnivor_Female,Craving_Vegetarian_Male,Craving_Vegetarian_Female,,,
51,cake with powdered sugar,Kuchen,1,2,1,,6.41,16.85,42.52,349,1,500,32.05,84.25,212.6,1745,0.417698809,0.347392805,0.234908386,0.427725926,37.74946296,47.4377594,0.155796296,0.364243285,16.64530182,96.6,95.2,55.6,32.0,32.3,63.0,35.8,97.2,94.6,100.0,100.0,90.8,95.3,100.0,100.0,59.8,57.1,30.5,51.6,33.6,35.7,8.0,25.8,31.2,34.8,19.0,30.4,67.9,63.8,45.0,57.7,46.7,36.9,19.5,20.4,,,
52,hot dog,Hotdog,1,2,2,5,9.198,9.89,26.293,232,1,115,10.5777,11.3735,30.23695,266.8,0.562692919,0.325189646,0.112117434,0.388118519,51.64008148,58.06860352,0.118462963,0.305223681,14.86946678,99.6,100.0,41.1,34.4,26.5,40.8,30.8,100.0,99.2,100.0,100.0,100.0,100.0,100.0,100.0,61.4,38.1,23.0,25.1,54.7,31.6,3.3,24.3,33.0,25.9,24.2,18.5,65.9,40.4,4.2,18.7,54.8,28.7,1.0,12.2,,,
53,hot dog,Hotdog,1,2,2,5,9.198,9.89,26.293,232,1,115,10.5777,11.3735,30.23695,266.8,0.49758004,0.333739093,0.168680867,0.399481481,41.93925926,55.10137177,0.102777778,0.257277953,15.03202248,97.8,100.0,42.6,28.6,24.2,44.7,30.6,100.0,100.0,100.0,87.5,100.0,100.0,100.0,100.0,59.2,41.7,38.5,17.9,41.9,25.7,38.1,7.6,28.6,22.2,21.4,23.2,64.5,43.3,45.1,13.4,51.0,28.2,25.0,3.9,,,
54,cheese platter,Käseplatte,1,2,2,,28.7,30,0,383,1,500,143.5,150,0,1915,0.431766248,0.35001175,0.218222003,0.428207407,36.73991852,48.41094208,0.095296296,0.222547052,15.32653236,99.1,97.1,57.9,37.3,30.1,63.7,40.7,100.0,98.1,100.0,99.4,92.9,98.1,100.0,100.0,56.5,63.9,54.1,51.0,41.5,39.0,26.4,31.8,26.3,31.4,19.1,34.6,64.7,68.4,46.5,58.4,45.8,45.4,18.3,31.3,,,
55,raspberry cake,Himbeer-Torte,1,2,1,,3.1,10.6,28.2,227,1,1100,34.1,116.6,310.2,2497,0.598409738,0.228059673,0.173530589,0.497574074,70.39675185,67.31001282,0.118962963,0.239085935,16.6919117,98.7,96.1,51.8,39.3,48.2,56.6,37.4,100.0,97.0,100.0,100.0,99.2,97.0,100.0,87.5,50.6,52.8,64.7,43.2,23.6,45.6,64.1,31.1,39.3,52.7,48.8,50.1,49.4,68.0,62.4,37.2,29.3,44.1,61.2,18.7,,,
56,chocolate and vanilla ice cream,Schoko-/Vanilleeis,1,2,1,,4,10.67,26.67,220,2,150,6,16.005,40.005,330,0.473682484,0.301159929,0.225157587,0.258914815,31.34951852,69.34763336,0.094962963,0.366772998,16.40711021,96.2,97.9,63.7,36.5,27.9,68.3,43.1,89.6,99.7,100.0,96.3,92.9,99.8,100.0,100.0,60.7,68.4,54.3,59.3,35.9,37.7,23.3,38.9,28.1,27.5,21.7,30.6,66.5,72.6,48.7,66.9,41.8,46.8,34.0,38.7,,,
57,ham sandwich with chips,Schinkensandwich mit Chips,1,2,2,,13.86,17.78,18.73,299,2,210,29.106,37.338,39.333,627.9,0.435705597,0.36388696,0.200407442,0.401618519,43.34786296,65.14542389,0.127962963,0.318618184,14.57762527,98.7,98.6,47.9,36.7,48.6,53.9,38.0,100.0,97.7,100.0,98.3,95.6,100.0,100.0,99.6,57.9,56.9,33.3,23.9,45.1,43.5,19.7,19.4,46.6,54.1,35.0,45.4,63.4,66.6,25.7,27.8,46.8,49.4,23.0,11.7,,,
58,ham sandwich,Schinkensandwich,1,2,2,,8.19,5.17,19.4,155,1,232,19.0008,11.9944,45.008,359.6,0.490367281,0.356426805,0.153205915,0.276914815,31.70172963,57.1619339,0.083851852,0.302807388,15.30414486,96.9,97.4,48.0,26.2,45.9,51.3,31.4,99.1,99.1,66.7,100.0,99.1,100.0,100.0,85.7,56.7,53.9,39.5,20.2,27.1,31.6,17.5,12.0,44.3,49.1,51.2,36.8,58.5,63.4,23.2,15.6,40.8,38.7,10.2,3.7,,,
59,apple pie,Apfelkuchen,1,2,1,,2.9,7.8,37.4,237,1,1200,34.8,93.6,448.8,2844,0.465620161,0.335466731,0.198913107,0.405992593,53.95677407,56.92817688,0.12837037,0.316188947,17.37973976,78.8,77.7,51.8,32.4,45.1,55.9,31.8,76.6,76.7,100.0,81.1,72.1,77.5,83.3,82.6,47.0,55.7,56.2,48.9,33.1,36.9,32.8,23.5,42.3,50.9,28.3,40.6,48.6,59.4,51.0,58.0,36.5,28.9,19.8,34.1,,,
60,french fries,Pommes Frites,1,2,2,2,3.75,17.04,34.095,295,,220,8.25,37.488,75.009,649,0.491212923,0.345393399,0.163393678,0.324925926,34.44624815,46.17461014,0.10637037,0.327368061,15.03631878,98.7,99.5,55.1,41.2,31.6,68.0,46.2,95.6,100.0,100.0,100.0,98.3,100.0,100.0,100.0,62.6,53.3,30.8,54.2,48.2,42.0,23.4,32.3,33.3,33.2,11.6,29.9,73.6,71.0,34.8,59.6,59.1,42.0,27.6,40.4,,,
61,pizza (salami),Pizza (salami),1,2,2,,6.55,5.64,21.27,165.45,1,550,36.025,31.02,116.985,909.975,0.596850767,0.253729002,0.149420231,0.340525926,54.71434815,55.99264526,0.113481481,0.333253573,16.85715103,100.0,100.0,50.8,31.4,30.9,58.2,37.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.2,58.6,45.2,26.6,41.4,34.5,16.8,17.6,26.1,34.1,23.5,32.0,72.4,71.6,48.5,20.6,59.1,41.0,11.0,11.5,,,
62,challah (braided yeast bun),Hefezopf,1,2,1,,8.85,3,51.9,270,1,70,6.195,2.1,36.33,189,0.533050213,0.321057574,0.145892214,0.254048148,33.18792593,59.24996948,0.097481481,0.383712624,15.86318779,94.2,96.4,57.0,37.0,32.0,64.0,44.7,86.1,98.9,100.0,99.2,90.3,100.0,100.0,100.0,59.8,58.7,49.1,51.5,39.3,36.1,31.0,36.1,29.9,32.7,21.7,37.6,64.0,68.5,43.7,62.5,47.6,45.7,22.7,44.3,,,
63,pretzels,Brezeln,1,2,2,,13.1,7.5,68,392,10,40,5.24,3,27.2,156.8,0.453104333,0.319571148,0.227324519,0.237814815,26.43346296,58.68345261,0.090203704,0.379302289,15.53998566,93.6,99.6,48.0,22.4,32.2,46.1,21.5,95.8,97.3,70.0,97.4,98.5,100.0,100.0,100.0,52.0,45.0,32.9,59.5,27.4,22.7,8.2,23.4,28.2,33.0,21.9,44.2,44.4,48.6,33.2,52.2,24.0,19.7,17.0,25.0,,,
64,butter,Butter,1,2,,,1,83.2,0.6,741,1,5,0.05,4.16,0.03,37.05,0.372369441,0.429432098,0.198198461,0.255203704,22.10162963,69.79698181,0.034555556,0.135403817,15.74025345,75.6,76.6,51.1,25.1,27.4,42.1,20.7,67.6,75.7,100.0,79.7,66.9,80.5,100.0,76.9,57.7,50.1,19.3,50.9,27.2,22.4,16.8,28.3,33.2,24.8,14.3,27.6,42.7,42.9,12.3,45.0,19.5,21.4,6.3,23.2,,,
65,cheese burger,Cheeseburger,1,2,2,5,12,12,14,217,1,350,42,42,49,759.5,0.477117607,0.367744617,0.155137776,0.381122222,43.47228519,63.19257736,0.096074074,0.252082058,15.61249161,100.0,100.0,46.1,35.0,36.7,50.3,34.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,56.9,34.5,17.0,37.3,42.7,36.4,17.8,38.5,40.3,37.7,27.6,61.3,62.6,41.9,19.3,39.9,42.6,49.2,4.6,,,
66,croissants,Croissants,1,2,1,,5.2,18.8,35.9,333,2,150,7.8,28.2,53.85,499.5,0.538990422,0.336144511,0.124865068,0.390137037,46.506,51.07358551,0.105518519,0.270465269,15.36026764,98.3,100.0,57.0,33.6,30.2,62.4,34.4,97.0,99.0,100.0,98.0,100.0,100.0,100.0,100.0,56.4,60.0,26.5,58.2,23.4,41.5,17.0,31.8,23.0,32.9,31.5,33.6,58.2,68.6,30.0,60.4,27.9,42.3,5.0,30.3,,,
67,ice cream,Eis,1,2,1,,3,5,30,220,2,150,4.5,7.5,45,330,0.434748341,0.353353883,0.211897776,0.316677778,34.19397778,48.8608017,0.057759259,0.182391261,15.63434696,94.9,94.7,54.1,34.4,38.9,60.0,34.9,100.0,93.5,75.0,99.1,95.1,96.4,75.0,98.9,58.0,59.0,38.5,47.1,39.9,35.3,26.3,29.2,41.4,42.0,20.3,38.0,61.3,65.8,40.8,55.8,46.9,33.7,29.3,25.2,,,
68,doner kebab,Döner,1,2,2,5,12.11,4.91,24.31,192,1,350,42.385,17.185,85.085,672,0.517957243,0.312036761,0.170005996,0.366859259,47.74802963,62.16370773,0.124814815,0.340225336,16.35503578,87.3,93.0,49.3,36.1,43.7,52.7,30.5,91.7,82.8,100.0,81.8,95.0,93.8,100.0,81.8,56.2,52.9,41.8,29.6,46.4,33.0,41.2,19.1,44.2,46.1,44.2,35.4,62.4,58.2,43.6,22.6,47.1,27.0,31.8,4.4,,,
69,fish sandwich,Fischbrötchen,1,2,1,4,9.78,8.27,29.13,230,1,200,19.56,16.54,58.26,460,0.523423785,0.348534886,0.128041329,0.326974074,37.47745926,56.26036072,0.077333333,0.236512126,15.26404381,84.3,90.2,44.2,29.2,44.6,44.8,24.9,83.5,78.3,100.0,97.1,87.5,87.4,100.0,100.0,49.6,44.8,34.0,36.0,36.0,25.0,29.3,27.9,38.9,46.7,65.0,41.0,58.4,44.1,29.3,26.7,34.0,23.2,30.0,9.4,,,
70,cheese,Käse,1,2,2,,25,27,2,351,1,150,37.5,40.5,3,526.5,0.440548156,0.362320624,0.19713122,0.190848148,17.19194444,27.56102371,0.021388889,0.112072813,14.15629768,97.0,95.6,53.2,26.8,25.7,59.4,27.5,91.7,98.1,100.0,100.0,89.6,96.3,100.0,100.0,48.0,54.9,44.7,58.4,35.4,23.7,30.3,21.4,24.1,22.7,20.0,34.1,57.3,59.5,59.3,61.7,33.0,33.8,5.0,17.2,,,
71,cheese platter,Käseplatte,1,2,2,,26,29.2,0,365,5,600,156,175.2,0,2190,0.43332094,0.37278177,0.19389729,0.297014815,23.87858148,40.51256561,0.075944444,0.255692446,14.93539143,97.9,99.8,53.4,34.1,33.4,60.7,34.6,91.7,100.0,100.0,100.0,99.4,100.0,100.0,100.0,58.5,60.5,40.0,37.8,42.6,35.1,10.0,29.3,32.9,35.1,21.7,33.7,61.7,69.0,29.0,52.3,43.6,36.9,17.0,25.2,,,
72,sandwich roastbeef,Sandwich roastbeef,1,2,2,5,9.47,7,17.7,173,1,243,23.0121,17.01,43.011,420.39,0.496422376,0.328599333,0.174978291,0.322392593,41.63957407,55.13716125,0.123259259,0.382326586,15.56921196,87.4,95.0,43.2,35.5,41.3,45.4,32.9,93.1,79.7,88.9,94.9,94.4,93.8,100.0,96.3,65.5,42.5,20.2,24.7,47.6,33.6,15.6,30.8,46.2,40.0,30.8,41.2,73.5,43.7,18.8,22.7,61.2,27.9,17.4,13.2,,,
73,Spaghetti Bolognese,Spaghetti Bolognese,1,2,2,,6,4.08,15.3,121,1,400,24,16.32,61.2,484,0.429679845,0.340991018,0.229329137,0.337,24.46194074,60.33600998,0.104555556,0.310253874,15.78370953,100.0,97.7,61.1,40.9,32.4,69.3,40.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.7,64.5,65.2,44.3,56.2,48.0,38.7,22.8,41.6,30.8,37.7,24.7,28.4,75.2,71.5,43.8,66.6,50.8,43.1,20.0,30.7,,,
74,chocolate cake,Schokotorte,1,2,1,3,3.9,12.1,32.3,256,1,1300,50.7,157.3,419.9,3328,0.417546126,0.307503632,0.274950242,0.39077037,54.96305926,69.88939667,0.112888889,0.288888046,16.29308128,100.0,99.8,60.4,49.8,49.9,66.1,45.6,100.0,100.0,100.0,100.0,99.4,100.0,100.0,100.0,62.1,64.1,53.0,51.3,55.0,50.0,47.5,41.6,48.2,47.7,58.5,55.5,71.2,68.2,44.0,58.2,55.9,46.2,32.0,31.8,,,
75,ham sandwich,Schinkensandwich,1,2,2,,7.92,5,19.16,150,1,240,19.008,12,45.984,360,0.519250689,0.321625785,0.159123526,0.318059259,40.4534037,50.3360672,0.074907407,0.235513997,14.9513855,94.6,98.4,42.8,27.6,43.0,45.2,28.8,94.6,93.0,100.0,97.2,94.6,99.8,100.0,100.0,55.0,47.5,1.5,25.3,41.8,27.1,16.0,12.5,45.7,46.5,20.8,36.3,59.1,49.9,38.8,17.3,45.5,30.5,1.0,8.8,,,
76,spaghetti with tomato sauce,Spagetti mit Tomatensauce,1,2,2,,4.1,2.3,20.5,121,1,350,14.35,8.05,71.75,423.5,0.420432327,0.333971832,0.245595841,0.339125926,24.27991111,55.70999908,0.114962963,0.338997859,15.68142414,100.0,99.8,65.7,43.3,33.5,66.9,41.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.1,60.8,66.3,48.2,75.5,43.4,39.5,29.2,54.7,38.8,30.8,18.7,37.2,59.9,69.0,49.2,76.5,40.7,35.6,26.5,56.7,,,
77,ham sandwich with chips,Schinkensandwich mit Chips,1,2,2,,7.89,8.95,23.35,205,30,266,20.9874,23.807,62.111,545.3,0.460308873,0.367728632,0.171962495,0.239477778,23.64238519,52.68917465,0.068703704,0.286889683,14.91034985,91.5,97.7,50.8,31.1,52.0,49.3,32.4,92.0,90.4,200.0,93.1,97.8,98.7,200.0,95.6,52.5,52.8,,43.5,35.2,30.9,,24.7,48.8,54.1,,52.4,53.2,55.5,,29.0,36.2,39.1,,11.3,,,
78,muffins,Muffins,1,2,1,,8,11.56,37.3,286,5,350,28,40.46,130.55,1001,0.47331211,0.32781318,0.19887471,0.310211111,31.89306296,60.93752289,0.094,0.303019449,15.7397871,98.2,99.1,54.6,35.6,33.0,62.6,37.6,100.0,96.3,100.0,99.1,100.0,98.4,100.0,99.1,57.4,52.2,75.5,51.8,38.1,35.9,38.5,30.7,29.1,33.4,45.3,35.2,60.1,63.1,76.5,62.1,35.9,38.7,45.0,36.2,,,
79,chocolate cookie,Schokokeks,1,2,1,3,6.1,21,68,491,1,24,1.464,5.04,16.32,117.84,0.491264615,0.295250313,0.213485072,0.250407407,39.89975926,63.7094841,0.076481481,0.305428191,16.91062355,73.5,86.8,52.4,36.5,40.6,61.6,31.8,68.8,79.1,100.0,59.9,92.9,88.8,100.0,67.2,58.5,49.6,69.5,45.4,40.4,39.3,12.5,27.8,32.6,42.2,29.0,53.0,62.3,67.1,58.0,46.2,44.7,27.6,13.0,25.4,,,
80,chocolate muffin,Schokomuffin,1,2,1,3,8,11.56,37.3,286,1,120,9.6,13.872,44.76,343.2,0.496070461,0.347892351,0.156037189,0.209507407,22.06128889,44.42009735,0.048777778,0.232821256,15.34903336,100.0,99.3,52.5,30.2,33.0,62.5,40.1,100.0,100.0,100.0,100.0,97.4,100.0,100.0,100.0,47.0,53.3,56.7,57.1,33.7,30.0,37.3,25.7,33.9,33.5,37.3,30.5,56.5,64.5,81.0,64.2,44.3,36.0,52.0,41.8,,,
81,pizza slices (assorted),Pizza (diverse),1,2,2,,6.55,5.64,21.27,165.45,1,550,36.025,31.02,116.985,909.975,0.484168714,0.34169758,0.174133705,0.399566667,39.63477407,49.51842117,0.161388889,0.403909791,16.76459694,95.6,97.6,51.8,38.5,49.6,58.2,33.8,100.0,96.5,100.0,89.2,90.9,100.0,100.0,100.0,59.3,53.3,23.5,44.1,49.7,35.5,23.5,33.8,48.4,53.2,44.0,44.8,66.1,61.7,13.0,48.5,51.8,28.6,1.0,27.6,,,
82,cheese platter,Käseplatte,1,2,2,,24,29,0.05,357,6,800,192,232,0.4,2856,0.413371745,0.354994275,0.23163398,0.4641,38.62998519,50.33692551,0.1125,0.242404654,16.27353096,100.0,100.0,62.8,39.0,43.9,68.9,43.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,57.8,61.1,76.5,64.2,39.9,38.2,59.2,31.4,39.2,44.4,65.7,38.7,61.4,70.4,82.1,67.9,49.6,39.8,75.8,31.2,,,
83,filled chocolates,Schokopralinen,1,2,1,3,10,32.5,42.5,502,6,60,6,19.5,25.5,301.2,0.490446327,0.289613085,0.219940588,0.262388889,41.03698889,67.73914337,0.074333333,0.283294516,15.52971554,91.7,95.4,60.1,41.8,46.0,64.8,40.9,90.5,92.3,66.7,95.0,86.3,100.0,100.0,100.0,62.9,63.5,72.0,49.4,37.9,48.5,51.7,35.0,42.5,49.5,54.3,44.0,63.0,69.5,81.3,57.6,37.8,48.0,58.3,31.6,,,
84,cake,Kuchen,1,2,1,,5.9,21,52,428,1,450,26.55,94.5,234,1926,0.405182844,0.352029087,0.242788069,0.342955556,29.14045185,37.84532166,0.078722222,0.229540595,15.36423397,99.1,98.0,53.1,33.4,32.6,59.6,34.9,98.1,99.2,100.0,100.0,96.2,98.0,100.0,100.0,55.1,55.3,36.0,52.0,35.7,34.6,25.0,30.8,28.5,35.5,36.7,31.4,57.1,65.1,37.3,60.3,39.0,37.0,31.0,26.2,,,
85,Pizza (with salami),Pizza (Salami),1,2,2,,6.55,5.64,21.27,165.45,1,550,36.025,31.02,116.985,909.975,0.516139212,0.301512906,0.182347882,0.33692963,44.47639259,46.2699585,0.104555556,0.310318673,16.7872982,100.0,100.0,52.7,37.1,33.9,59.5,40.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58.5,56.6,41.8,42.3,51.7,33.9,19.5,30.5,36.1,35.5,32.5,28.8,70.1,62.7,46.5,45.3,52.0,43.7,4.8,31.5,,,
86,"cheese burger, french fries","Cheeseburger, Pommes",1,2,2,5,10.6,12.52,17.83,228,15,286,30.316,35.8072,50.9938,652.08,0.527596111,0.340860456,0.131543433,0.286488889,31.8535963,53.97177505,0.093888889,0.327722619,15.04469299,100.0,100.0,46.2,35.8,39.7,51.9,32.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.3,54.3,1.5,27.7,43.4,38.6,1.0,27.8,37.4,46.9,20.0,33.5,62.3,62.7,2.0,29.1,43.3,33.8,3.0,20.4,,,
87,cheese burger,Cheeseburger,1,2,2,5,12,12,14,214,1,236,28.32,28.32,33.04,505.04,0.486320802,0.346106336,0.167572862,0.38072963,43.97483333,57.9838295,0.134648148,0.353658181,15.99381828,100.0,99.5,41.7,27.3,34.0,46.9,27.5,100.0,100.0,100.0,100.0,98.3,100.0,100.0,100.0,59.4,41.3,2.0,26.2,41.2,26.5,7.0,13.5,35.0,38.3,20.5,25.8,65.4,50.5,5.3,20.8,49.0,23.9,2.0,10.0,,,
88,stracciatella cake,Stracciatellatorte,1,2,1,3,3.1,21.2,28.8,320,2,90,2.79,19.08,25.92,288,0.434525024,0.309869438,0.255605538,0.392014815,41.22651852,67.4575882,0.09187037,0.234354333,16.26331329,87.6,82.1,54.7,37.7,47.9,56.0,39.6,78.2,91.3,80.0,95.3,80.8,77.2,100.0,85.0,51.6,63.5,59.5,39.3,38.6,42.1,41.4,26.8,47.8,50.5,59.7,37.7,49.7,65.1,66.6,41.4,40.9,46.1,52.9,19.6,,,
89,strawberry cake,Erdbeertorte,1,2,1,,3.8,11.2,29.3,236,1,175,6.65,19.6,51.275,413,0.572008209,0.269197954,0.158793836,0.386751852,46.35567778,62.92294312,0.107407407,0.277716595,16.46329117,97.5,100.0,63.5,47.7,45.6,67.9,44.3,100.0,99.7,100.0,88.9,100.0,100.0,100.0,100.0,66.8,67.0,52.9,57.3,58.8,45.4,32.9,45.0,39.4,48.6,33.9,52.6,72.4,72.2,56.1,59.0,58.3,45.6,22.0,34.6,,,
90,muffins,Muffins,1,2,1,,5,22,43,393,4,360,18,79.2,154.8,1414.8,0.433015623,0.344549794,0.222434583,0.295911111,29.91344444,53.95705032,0.093592593,0.316286172,15.57040787,99.3,100.0,56.4,39.5,35.8,64.7,38.2,100.0,100.0,100.0,96.7,100.0,100.0,100.0,100.0,60.4,56.8,71.5,43.8,45.7,39.2,67.5,20.4,39.1,36.7,38.5,28.6,68.4,64.0,76.0,56.1,47.0,35.0,46.3,28.5,,,
91,cheese burger,Cheeseburger,1,2,2,,12,12,14,217,1,240,28.8,28.8,33.6,520.8,0.50474923,0.338002904,0.157247866,0.372277778,40.43183333,52.92457581,0.130740741,0.351191364,15.71635437,98.9,97.7,48.8,37.5,38.2,53.4,34.2,100.0,100.0,100.0,94.4,96.9,100.0,100.0,94.4,62.7,50.2,20.5,24.4,53.5,30.8,19.0,24.2,38.7,41.9,35.8,30.1,66.9,56.5,28.5,26.2,48.5,32.5,22.8,13.2,,,
92,cheddar cheese,Käse,1,2,1,,25,35,0,400,6,600,150,210,0,2400,0.486890995,0.37347485,0.139634156,0.31642963,26.41812963,27.23293114,0.064407407,0.203544173,14.16919613,95.3,100.0,53.9,32.7,29.3,60.8,36.4,97.8,99.6,100.0,82.4,100.0,100.0,100.0,100.0,58.6,53.7,64.8,44.4,33.6,34.0,22.5,31.0,27.5,32.7,16.5,28.4,63.4,61.1,63.3,55.5,47.2,33.6,13.3,29.9,,,
93,muffins,Muffins,1,2,1,,5,22,43,393,3,180,9,39.6,77.4,707.4,0.53072059,0.271296111,0.197983299,0.512540741,60.85783704,73.95162964,0.121018519,0.236114925,16.35258293,100.0,99.2,57.4,37.9,36.2,58.1,33.1,100.0,100.0,100.0,100.0,100.0,98.1,100.0,100.0,54.4,60.7,39.8,60.1,41.9,33.7,36.5,42.1,26.0,41.4,29.2,39.5,61.2,58.1,41.2,60.3,33.8,31.6,36.2,34.2,,,
94,jelly candies,Bonbons (geliert),1,2,1,,0.1,0.1,84.4,340,10,100,0.1,0.1,84.4,340,0.438599231,0.320559314,0.240841456,0.128551852,14.89903704,66.90863037,0.029203704,0.227174508,15.25199413,90.1,94.1,41.6,28.1,27.7,41.8,20.4,88.9,91.3,200.0,88.4,100.0,93.8,200.0,86.1,40.3,46.5,,30.5,23.2,36.2,,14.3,22.8,32.1,,23.3,41.6,45.7,,31.9,15.7,27.7,,8.3,,,
95,raspberry cake,Himbeertorte,1,2,1,,3.5,12,34.3,262,1,800,28,96,274.4,2096,0.394384839,0.316838613,0.288776549,0.45262963,38.8315963,49.28955841,0.126740741,0.280009819,16.09649849,97.8,100.0,50.4,34.6,45.5,56.4,32.8,100.0,99.8,100.0,90.9,100.0,100.0,100.0,100.0,56.6,52.0,35.3,43.7,40.0,36.3,11.0,31.4,44.6,44.6,63.3,43.3,59.2,61.0,31.0,52.0,39.0,36.3,15.7,23.6,,,
96,cake (gugelhupf),Kuchen Gugelhupf,1,2,1,,5.9,21,52,428,1,500,29.5,105,260,2140,0.496563308,0.334603933,0.168832759,0.340996296,44.10903333,49.78567505,0.075148148,0.220378195,16.18200493,96.9,96.7,53.0,32.5,27.4,52.3,33.5,95.6,95.3,100.0,100.0,96.9,93.9,100.0,100.0,55.5,53.4,57.4,47.4,33.9,35.9,47.0,19.1,25.1,28.5,37.4,24.7,54.5,50.8,56.4,50.2,41.4,33.0,41.6,20.9,,,
97,chocolate cake,Schokokuchen,1,2,1,3,5.9,16.8,27.4,286,2,150,8.85,25.2,41.1,429,0.455592332,0.329370249,0.215037419,0.466192593,69.45922222,59.33336258,0.094388889,0.202467586,16.44875336,98.1,99.9,58.6,37.1,37.7,64.1,41.0,96.4,98.4,100.0,100.0,100.0,99.8,100.0,100.0,60.5,57.0,90.0,51.4,37.6,35.7,59.0,34.2,38.0,38.6,51.5,32.2,64.4,63.2,97.5,57.7,44.2,34.5,98.5,35.6,,,
98,cheese platter,Käseplatte,1,2,2,,24,29,0.05,357,13,1600,384,464,0.8,5712,0.481931266,0.345908866,0.172159868,0.353714815,36.92532222,59.3020401,0.091685185,0.259206517,14.56110859,88.9,99.4,57.7,36.4,46.4,62.9,39.9,80.0,95.1,66.7,97.2,100.0,99.2,100.0,98.6,51.4,62.8,69.5,51.0,36.0,38.1,46.5,28.8,46.2,49.4,58.7,34.1,59.8,66.4,72.3,55.2,45.8,35.0,70.5,31.1,,,
99,cake,Kuchen,1,2,1,,5.9,21,52,428,1,500,29.5,105,260,2140,0.388656751,0.342727456,0.268615793,0.36042963,32.40880741,40.75679779,0.08312963,0.230640388,16.01064491,93.2,90.7,50.9,33.6,27.5,53.1,32.5,92.9,92.1,100.0,95.0,84.9,92.2,100.0,95.0,54.5,51.3,52.0,44.7,43.1,30.7,6.0,29.1,28.2,26.8,6.0,29.9,54.1,55.9,54.0,46.2,39.1,32.3,8.0,26.0,,,
100,chocolate cake,Schokotorte,1,2,1,3,4.6,19,28.6,307,1,1200,55.2,228,343.2,3684,0.383988264,0.314584665,0.30142707,0.346248148,44.41708519,73.13317108,0.103277778,0.298276766,16.45594788,99.2,98.5,54.4,35.2,43.8,58.2,35.5,98.7,99.4,100.0,99.1,98.7,97.9,100.0,99.1,44.5,61.1,75.0,49.1,34.9,37.4,57.5,26.7,43.9,45.3,48.0,39.8,52.9,63.3,86.5,48.6,38.1,38.0,65.0,21.1,,,
101,Donut (chocolate),Donut (schoko),1,2,1,3,6.6,33.3,46,510,1,50,3.3,16.65,23,255,0.418389188,0.336666477,0.244944335,0.184207407,23.22586296,74.19538879,0.046259259,0.251125945,14.3224268,98.4,99.0,49.9,38.0,25.8,53.6,36.8,96.4,98.7,100.0,100.0,95.2,100.6,100.0,100.0,54.8,48.1,22.5,54.0,43.6,39.7,6.0,34.8,22.2,30.6,25.0,20.1,54.8,53.9,32.8,56.2,46.9,35.9,1.0,34.5,,,
102,hard candies,Bonbons (bunt),1,2,1,,1,0.3,95,391,23,100,1,0.3,95,391,0.341931852,0.360477932,0.297590216,0.139840741,11.9972,59.13329315,0.053851852,0.385094155,15.33929729,87.6,88.5,45.7,26.9,30.6,41.5,24.2,89.2,81.6,100.0,95.6,93.3,91.0,0.0,88.2,51.4,47.9,8.0,39.7,35.2,25.8,14.0,22.0,27.1,32.1,8.0,33.7,48.4,45.9,1.0,30.8,38.6,21.6,1.0,17.0,,,
103,raspberry cake,Himbeertorte,1,2,1,,3.5,12,34.3,262,1,120,4.2,14.4,41.16,314.4,0.508829034,0.265189817,0.22598115,0.350759259,43.97153333,57.6105423,0.078962963,0.22512011,16.57349396,97.8,97.8,54.7,42.5,42.1,60.4,39.9,100.0,100.0,100.0,88.9,100.0,100.0,100.0,88.9,54.0,63.2,39.5,44.7,45.9,48.3,32.1,30.0,39.2,45.4,30.5,44.6,63.4,71.3,38.0,43.0,44.1,49.1,13.1,26.6,,,
